VehicleID,AccidentIndex,VehicleType,PointImpact,LeftHand,JourneyPurpose,Propulsion,AgeVehicle
VID000001,201506E098757,Car,Offside,No,Not known,Petrol,11
VID000002,201506E098766,Car,Nearside,No,Not known,Heavy oil,1
VID000003,201506E098766,Car,Front,No,Not known,Undefined,
VID000004,201506E098777,Goods over 3.5t. and under 7.5t,Front,No,Journey as part of work,Heavy oil,1
VID000005,201506E098780,Car,Nearside,No,Not known,Heavy oil,
VID000006,201506E098780,Pedal cycle,Front,No,Not known,Undefined,
VID000007,201506E098792,Motorcycle 125cc and under,Front,No,Journey as part of work,Petrol,8
VID000008,201506E098792,Car,Back,No,Journey as part of work,Heavy oil,10
VID000009,201506E098804,Car,Nearside,No,Not known,Petrol,1
VID000010,201506E098826,Car,Front,No,Not known,Heavy oil,8
VID000011,201506E098826,Taxi/Private hire car,Back,No,Journey as part of work,Heavy oil,6
VID000012,201506E098847,Pedal cycle,Offside,No,Not known,Undefined,
VID000013,201506E098847,Car,Front,No,Not known,Petrol,5
VID000014,201506E098925,Car,Front,No,Taking pupil to/from school,Heavy oil,1
VID000015,201506E098925,Car,Front,No,Commuting to/from work,Petrol,1
VID000016,201506E098925,Car,Offside,No,Not known,Petrol,16
VID000017,201506E098925,Car,Front,No,Taking pupil to/from school,Petrol,12
VID000018,201506E098925,Car,Front,No,Not known,Petrol,8
VID000019,201506E099370,Car,Front,No,Not known,Petrol,8
VID000020,201506E099370,Pedal cycle,Offside,No,Pupil riding to/from school,Undefined,
VID000021,201506E099429,Car,Front,No,Not known,Heavy oil,3
VID000022,201506E099429,Car,Back,No,Not known,Petrol,1
VID000023,201506E099455,Car,Front,No,Not known,Petrol,5
VID000024,201506E099455,Car,Offside,No,Not known,Petrol,8
VID000025,201506E099474,Car,Offside,No,Commuting to/from work,Heavy oil,7
VID000026,201506E099505,Car,Front,No,Not known,Undefined,
VID000027,201506E099505,Car,Offside,No,Not known,Heavy oil,7
VID000028,201506E099534,Car,Offside,No,Not known,Petrol,11
VID000029,201506E099637,Car,Front,No,Not known,Heavy oil,10
VID000030,201506E099637,Car,Back,No,Not known,Undefined,
VID000031,201506E099749,Car,Front,No,Not known,Petrol,8
VID000032,201506E099749,Car,Back,No,Not known,Petrol,1
VID000033,201506E099755,Bus or coach (17 or more pass seats),Nearside,No,Journey as part of work,Undefined,
VID000034,201506E099797,Car,Front,No,Not known,Undefined,
VID000035,201506E099797,Pedal cycle,Back,No,Not known,Undefined,
VID000036,201506E099800,Car,Front,No,Not known,Heavy oil,7
VID000037,201506E099800,Car,Front,No,Not known,Petrol,3
VID000038,201506E099833,Car,Front,No,Not known,Petrol,12
VID000039,201506E099833,Car,Back,No,Not known,Petrol,10
VID000040,201506E099833,Minibus (8 - 16 passenger seats),Back,No,Journey as part of work,Undefined,
VID000041,201506E099888,Car,Front,No,Not known,Undefined,
VID000042,201506E099976,Pedal cycle,Front,No,Journey as part of work,Undefined,
VID000043,201506E099976,Car,Front,No,Not known,Petrol,1
VID000044,201506E099978,Car,Front,No,Commuting to/from work,Undefined,
VID000045,201506E099978,Car,Back,No,Commuting to/from work,Petrol,10
VID000046,201506E099988,Car,Front,No,Commuting to/from work,Petrol,10
VID000047,201506E099988,Pedal cycle,Front,No,Commuting to/from work,Undefined,
VID000048,201506EM06421,Car,Front,No,Commuting to/from work,Petrol,8
VID000049,201506EM06421,Car,Offside,No,Commuting to/from work,Petrol,7
VID000050,201506F000007,Car,Front,No,Journey as part of work,Heavy oil,2
VID000051,201506F000007,Car,Back,No,Journey as part of work,Petrol,1
VID000052,201506F000007,Car,Offside,No,Journey as part of work,Heavy oil,3
VID000053,201506F000110,Car,Front,No,Not known,Undefined,
VID000054,201506F000171,Car,Front,No,Not known,Petrol,10
VID000055,201506F000171,Car,Back,No,Journey as part of work,Heavy oil,5
VID000056,201506F000171,Car,Back,No,Commuting to/from work,Petrol,4
VID000057,201506F000182,Car,Front,No,Not known,Heavy oil,6
VID000058,201506F000182,Car,Back,No,Journey as part of work,Heavy oil,1
VID000059,201506F000440,Car,Nearside,No,Journey as part of work,Petrol,6
VID000060,201506F000440,Motorcycle 125cc and under,Offside,No,Not known,Petrol,5
VID000061,201506F000518,Car,Nearside,No,Not known,Petrol,12
VID000062,201506F000518,Bus or coach (17 or more pass seats),Front,No,Journey as part of work,Heavy oil,6
VID000063,201506F000542,Motorcycle over 500cc,Nearside,No,Not known,Petrol,15
VID000064,201506F000542,Car,Did not impact,No,Not known,Petrol,8
VID000065,201506F000588,Car,Front,No,Not known,Petrol,8
VID000066,201506F000588,Car,Did not impact,No,Journey as part of work,Heavy oil,2
VID000067,201506F000704,Car,Front,No,Not known,Petrol,1
VID000068,201506F000704,Van / Goods 3.5 tonnes mgw or under,Offside,No,Journey as part of work,Heavy oil,1
VID000069,201506F000714,Car,Front,No,Journey as part of work,Petrol,12
VID000070,201506F000714,Car,Offside,No,Commuting to/from work,Heavy oil,1
VID000071,201506F000738,Car,Back,No,Not known,Undefined,
VID000072,201506F000835,Car,Front,No,Journey as part of work,Undefined,
VID000073,201506F000835,Pedal cycle,Front,No,Not known,Undefined,
